"Localidade","IBGE","nota_2015","meta_2015"
"Rio Maria",1506161,4.7,4.2
"Rondon do Pará",1506187,4.6,4.2
"Rurópolis",1506195,4.6,4.2
"Salinópolis",1506203,4.3,4.3
"Salvaterra",1506302,4.7,4.2
"Santa Bárbara do Pará",1506351,4.6,4.5
"Santa Cruz do Arari",1506401,3.5,3.4
"Santa Isabel do Pará",1506500,3.9,3.9
"Santa Luzia do Pará",1506559,3.6,3.4
"Santa Maria das Barreiras",1506583,4,3.5
"Santa Maria do Pará",1506609,3.9,4.1
"Santana do Araguaia",1506708,3.6,4
"Santarém",1506807,5.2,4.9
"Santarém Novo",1506906,4.3,4
"Santo Antônio do Tauá",1507003,4,4.5
"São Caetano de Odivelas",1507102,3.6,3.7
"São Domingos do Araguaia",1507151,3.8,3.6
"São Domingos do Capim",1507201,3.3,3.8
"São Félix do Xingu",1507300,3.8,3.8
"São Francisco do Pará",1507409,4.2,4.2
"São Geraldo do Araguaia",1507458,4.1,3.9
"São João da Ponta",1507466,4,3.7
"São João de Pirabas",1507474,4.3,4.3
"São João do Araguaia",1507508,3.5,3.8
"São Miguel do Guamá",1507607,4.2,4.2
"São Sebastião da Boa Vista",1507706,4.2,3.7
"Sapucaia",1507755,3.7,3.8
"Senador José Porfírio",1507805,4,4.2
"Soure",1507904,3.9,4.2
"Tailândia",1507953,4.5,4
"Terra Alta",1507961,3.8,3.8
"Terra Santa",1507979,5.2,4.4
"Tomé-Açu",1508001,4.3,4.3
"Tracuateua",1508035,3.7,4.3
"Trairão",1508050,4.9,4.1
"Tucumã",1508084,4.4,4
"Tucuruí",1508100,4.6,4.3
"Ulianópolis",1508126,5.9,4.6
"Uruará",1508159,4.4,3.9
"Vigia",1508209,3.6,4.5
"Viseu",1508308,3.4,3.9
"Vitória do Xingu",1508357,4.8,3.7
"Xinguara",1508407,4.2,4.2
"Serra do Navio",1600055,4.2,4.5
"Amapá",1600105,3.7,4.1
"Pedra Branca do Amaparí",1600154,4.2,4.8
"Calçoene",1600204,3.7,4.3
"Cutias",1600212,3.7,4.3
"Ferreira Gomes",1600238,3.5,3.5
"Itaubal",1600253,3.6,4.8
"Laranjal do Jari",1600279,4.1,4.5
"Macapá",1600303,4.4,4.8
"Mazagão",1600402,3.9,3.9
"Oiapoque",1600501,3.7,4.4
"Porto Grande",1600535,3.9,4
"Pracuúba",1600550,3.7,4.3
"Santana",1600600,4.6,4.6
"Tartarugalzinho",1600709,3.5,4
"Vitória do Jari",1600808,3.6,4.1
"Abreulândia",1700251,4.7,5.1
"Aguiarnópolis",1700301,3.9,4.5
"Aliança do Tocantins",1700350,5.6,5.5
"Almas",1700400,4.3,5
"Alvorada",1700707,5.6,5.7
"Ananás",1701002,5.3,5.2
"Angico",1701051,4.5,5.1
"Aparecida do Rio Negro",1701101,5.2,4.9
"Aragominas",1701309,4.2,4.2
"Araguacema",1701903,4.8,4.6
"Araguaçu",1702000,5.9,5.5
"Araguaína",1702109,5.5,5.6
"Araguanã",1702158,5.5,5
"Araguatins",1702208,4.4,4.8
"Arapoema",1702307,5.2,5
"Arraias",1702406,4.6,5.4
"Augustinópolis",1702554,5.1,5.4
"Aurora do Tocantins",1702703,4.5,5.1
"Axixá do Tocantins",1702901,4.4,4.8
"Babaçulândia",1703008,4.3,4.1
"Bandeirantes do Tocantins",1703057,4.6,3.7
"Barra do Ouro",1703073,3.4,4.5
"Barrolândia",1703107,5.3,4.8
"Bernardo Sayão",1703206,4.9,4.9
"Bom Jesus do Tocantins",1703305,5.1,4.5
"Brasilândia do Tocantins",1703602,5.4,4.7
"Brejinho de Nazaré",1703701,4.3,4.6
"Buriti do Tocantins",1703800,4.4,5.1
"Cachoeirinha",1703826,4.4,5.1
"Campos Lindos",1703842,4,4.2
"Cariri do Tocantins",1703867,4.3,4.9
"Carmolândia",1703883,4.7,4.4
"Carrasco Bonito",1703891,4.2,4.3
"Caseara",1703909,4.1,4.5
"Centenário",1704105,4.2,4
"Chapada de Areia",1704600,0,4.3
"Chapada da Natividade",1705102,4.5,4.2
"Colinas do Tocantins",1705508,5.4,5.5
"Combinado",1705557,5.7,5.7
"Conceição do Tocantins",1705607,3.6,4.6
"Couto Magalhães",1706001,4.4,5.1
"Cristalândia",1706100,5,5.6
"Crixás do Tocantins",1706258,4.7,5.1
"Darcinópolis",1706506,4.6,4.6
"Dianópolis",1707009,4.8,5.5
"Divinópolis do Tocantins",1707108,4.8,4.8
"Dois Irmãos do Tocantins",1707207,4.8,4.9
"Dueré",1707306,4.7,4.7
"Esperantina",1707405,3.7,4.1
"Fátima",1707553,4,4.8
"Figueirópolis",1707652,5.4,5.7
"Filadélfia",1707702,4.2,4.5
"Formoso do Araguaia",1708205,5,5.4
"Fortaleza do Tabocão",1708254,5.3,5.2
"Goianorte",1708304,4.8,4.9
"Goiatins",1709005,4.4,4.3
"Guaraí",1709302,5.5,5.6
"Gurupi",1709500,5.7,5.5
"Ipueiras",1709807,3.7,4.1
"Itacajá",1710508,4.7,5.4
"Itaguatins",1710706,4.4,4.3
"Itapiratins",1710904,4.7,4.6
"Itaporã do Tocantins",1711100,4.6,4.7
"Jaú do Tocantins",1711506,5,4.8
"Juarina",1711803,4.5,4
