"Localidade","IBGE","nota_2015","meta_2015"
"Matinhas",2509339,3.8,4.4
"Mato Grosso",2509370,0,4.1
"Maturéia",2509396,4.4,4
"Mogeiro",2509404,3.8,4.4
"Montadas",2509503,5.1,4.9
"Monte Horebe",2509602,4.6,4.6
"Monteiro",2509701,5.1,5.1
"Mulungu",2509800,4.3,4.3
"Natuba",2509909,4.7,4.4
"Nazarezinho",2510006,4.5,3.8
"Nova Floresta",2510105,4.4,3.8
"Nova Olinda",2510204,4.8,3.7
"Nova Palmeira",2510303,4.6,4.2
"Olho d'Água",2510402,5.2,4.9
"Olivedos",2510501,5,3.9
"Ouro Velho",2510600,5.1,4.7
"Parari",2510659,4.8,5
"Passagem",2510709,4.1,4
"Patos",2510808,4.8,4.1
"Paulista",2510907,5.3,4.4
"Pedra Branca",2511004,4.9,4.1
"Pedra Lavrada",2511103,5.6,3.1
"Pedras de Fogo",2511202,4.3,3.5
"Piancó",2511301,4.2,3.4
"Picuí",2511400,5.6,4
"Pilar",2511509,3.7,3.6
"Pilões",2511608,4.1,3.4
"Pilõezinhos",2511707,3.9,3.8
"Pirpirituba",2511806,0,3.8
"Pitimbu",2511905,3.9,3.1
"Pocinhos",2512002,4.2,4.2
"Poço Dantas",2512036,3.7,3.5
"Poço de José de Moura",2512077,4.1,3.6
"Pombal",2512101,5.7,4.4
"Prata",2512200,5.4,4.3
"Princesa Isabel",2512309,0,3.9
"Puxinanã",2512408,5.1,4.6
"Queimadas",2512507,4.8,4.3
"Quixabá",2512606,0,4.6
"Remígio",2512705,4.5,3.9
"Pedro Régis",2512721,3.7,3.9
"Riachão",2512747,4.5,3.6
"Riachão do Bacamarte",2512754,4.3,3.5
"Riachão do Poço",2512762,4.6,3.8
"Riacho de Santo Antônio",2512788,4.4,3.4
"Riacho dos Cavalos",2512804,4.7,3.9
"Rio Tinto",2512903,4.1,4.2
"Salgadinho",2513000,4.1,4.1
"Salgado de São Félix",2513109,3.3,4
"Santa Cecília",2513158,4.4,3.9
"Santa Cruz",2513208,5.5,4
"Santa Helena",2513307,5.4,4.3
"Santa Inês",2513356,4.9,4.6
"Santa Luzia",2513406,5.3,4.1
"Santana de Mangueira",2513505,4.7,4.4
"Santana dos Garrotes",2513604,4,4
"Joca Claudino",2513653,4.8,4.4
"Santa Rita",2513703,3.7,3.9
"Santa Teresinha",2513802,4.4,4.1
"Santo André",2513851,4.8,4.4
"São Bento",2513901,4.7,3.6
"São Bentinho",2513927,4.6,4.6
"São Domingos do Cariri",2513943,0,6.9
"São Domingos",2513968,4.9,4.6
"São Francisco",2513984,5.8,4.2
"São João do Cariri",2514008,5.1,4.1
"São João do Tigre",2514107,4.8,4.8
"São José da Lagoa Tapada",2514206,4,3.6
"São José de Caiana",2514305,3.6,4
"São José de Espinharas",2514404,4,4.1
"São José dos Ramos",2514453,4,3.8
"São José de Piranhas",2514503,4.7,3.8
"São José de Princesa",2514552,0,4
"São José do Bonfim",2514602,3.9,3.8
"São José do Brejo do Cruz",2514651,4.6,3.9
"São José do Sabugi",2514701,5.3,3.9
"São José dos Cordeiros",2514800,4.8,4.5
"São Mamede",2514909,5.1,4.9
"São Miguel de Taipu",2515005,3.5,3.9
"São Sebastião de Lagoa de Roça",2515104,5.2,4.6
"São Sebastião do Umbuzeiro",2515203,4.9,4.2
"Sapé",2515302,4.3,4
"São Vicente do Seridó",2515401,4.4,4.8
"Serra Branca",2515500,5,4.8
"Serra da Raiz",2515609,4.2,4.4
"Serra Grande",2515708,5.4,4.2
"Serra Redonda",2515807,4.3,3.6
"Serraria",2515906,3.8,3.4
"Sertãozinho",2515930,4.7,4.4
"Sobrado",2515971,4.5,3.7
"Solânea",2516003,4,4
"Soledade",2516102,4.3,3.9
"Sossêgo",2516151,4.8,3.4
"Sousa",2516201,4.9,4.4
"Sumé",2516300,4.9,4.1
"Tacima",2516409,4.5,3.8
"Taperoá",2516508,4.6,3.9
"Tavares",2516607,5,4.3
"Teixeira",2516706,4.1,3.8
"Tenório",2516755,4,4.7
"Triunfo",2516805,4.2,3.7
"Uiraúna",2516904,4.1,4.2
"Umbuzeiro",2517001,4.8,4.3
"Várzea",2517100,6.1,6.4
"Vieirópolis",2517209,0,5.6
"Zabelê",2517407,4.6,4.6
"Abreu e Lima",2600054,4.3,4.5
"Afogados da Ingazeira",2600104,5.4,4.6
"Afrânio",2600203,4.6,4.7
"Agrestina",2600302,4.2,4.1
"Água Preta",2600401,4.4,4
"Águas Belas",2600500,4.2,3.5
"Alagoinha",2600609,4,4.1
"Aliança",2600708,0,3.7
"Altinho",2600807,4.1,4.1
"Amaraji",2600906,4,4.2
"Angelim",2601003,4,4.1
"Araçoiaba",2601052,4.2,3.9
"Araripina",2601102,4.2,4.2
"Arcoverde",2601201,5.1,4.3
"Barra de Guabiraba",2601300,4.8,3.9
"Barreiros",2601409,3.8,4
"Belém de Maria",2601508,4.4,4.5
"Belém de São Francisco",2601607,4.7,4.1
"Belo Jardim",2601706,4.5,4.8
"Betânia",2601805,5,3.8
"Bezerros",2601904,5.7,4.8
"Bodocó",2602001,4.2,4.1
"Bom Conselho",2602100,4.5,3.9
"Bom Jardim",2602209,5,4
"Bonito",2602308,6.2,3.8
"Brejão",2602407,5.6,3.7
"Brejinho",2602506,5.9,4.6
"Brejo da Madre de Deus",2602605,4.4,4.1
"Buenos Aires",2602704,4.1,3.8
"Buíque",2602803,4.2,4.2
"Cabo de Santo Agostinho",2602902,4.6,4.4
"Cabrobó",2603009,5.1,4.2
"Cachoeirinha",2603108,5,4.3
"Caetés",2603207,5.1,3.8
"Calçado",2603306,4.3,4.5
"Calumbi",2603405,4.6,4.2
"Camaragibe",2603454,4.7,4.6
"Camocim de São Félix",2603504,5.7,4.2
"Camutanga",2603603,4.1,4.6
"Canhotinho",2603702,4.7,3.9
"Capoeiras",2603801,5,4.1
"Carnaíba",2603900,6.1,5
"Carnaubeira da Penha",2603926,4.7,4.1
"Carpina",2604007,4.7,4.9
"Caruaru",2604106,4.5,4.9
"Casinhas",2604155,4.5,4.5
"Catende",2604205,4.7,4.4
"Cedro",2604304,4.4,4.6
"Chã de Alegria",2604403,4.3,4.3
"Chã Grande",2604502,0,4.1
"Condado",2604601,4.5,3.9
"Correntes",2604700,3.8,4
"Cortês",2604809,4.7,4.4
"Cumaru",2604908,4,4.7
"Cupira",2605004,4.8,3.9
"Custódia",2605103,5,4.2
"Dormentes",2605152,6.3,4.5
"Escada",2605202,3.8,4
"Exu",2605301,5.1,4.1
"Feira Nova",2605400,4.4,4.3
"Fernando de Noronha",2605459,5.8,4.9
"Ferreiros",2605509,4.3,4.8
"Flores",2605608,5.4,4.6
"Floresta",2605707,4.6,4.7
"Frei Miguelinho",2605806,4.9,4.4
"Gameleira",2605905,4,3.9
"Garanhuns",2606002,4.5,4.3
"Glória do Goitá",2606101,4.1,4.1
"Goiana",2606200,4.3,4.4
"Granito",2606309,4.4,4.8
"Gravatá",2606408,4.2,4.3
"Iati",2606507,4.4,3.8
"Ibimirim",2606606,5.2,4.4
"Ibirajuba",2606705,4.7,4.4
"Igarassu",2606804,4.2,4.2
"Iguaraci",2606903,4.5,4.7
"Inajá",2607000,4.3,4
"Ingazeira",2607109,4.5,4.9
"Ipojuca",2607208,4.8,4.2
"Ipubi",2607307,4.4,3.9
"Itacuruba",2607406,4.6,4.8
"Itaíba",2607505,4.2,3.9
"Ilha de Itamaracá",2607604,4.5,4.5
"Itambé",2607653,4,4
"Itapetim",2607703,5.4,4.2
"Itapissuma",2607752,4.1,4.3
"Itaquitinga",2607802,3.8,4.1
"Jaboatão dos Guararapes",2607901,4.9,4.3
"Jaqueira",2607950,4.2,3.9
"Jataúba",2608008,4,3.9
"Jatobá",2608057,5.3,4.4
"João Alfredo",2608107,4.9,4.3
"Joaquim Nabuco",2608206,4.1,4.4
"Jucati",2608255,6,3.9
"Jupi",2608305,6.5,4
"Jurema",2608404,4.5,3.6
"Lagoa do Carro",2608453,4.8,4.7
"Lagoa do Itaenga",2608503,4.8,4
"Lagoa do Ouro",2608602,4.5,4
"Lagoa dos Gatos",2608701,4.7,4.1
"Lagoa Grande",2608750,5.1,4
"Lajedo",2608800,6.5,4
"Limoeiro",2608909,4.9,4.7
"Macaparana",2609006,4.5,4.4
"Machados",2609105,4.7,3.9
"Manari",2609154,3.8,5
"Maraial",2609204,3.9,4.4
"Mirandiba",2609303,4.7,3.8
"Moreno",2609402,4,4.2
"Nazaré da Mata",2609501,4.4,4.5
"Olinda",2609600,4,4.6
"Orobó",2609709,5.9,4.5
"Orocó",2609808,4.1,4.1
"Ouricuri",2609907,3.8,3.8
"Palmares",2610004,4.8,4.5
"Palmeirina",2610103,3.7,3.5
"Panelas",2610202,5.9,4.1
"Paranatama",2610301,5.5,4.6
"Parnamirim",2610400,4.8,4
"Passira",2610509,5.3,4.2
"Paudalho",2610608,3.8,3.8
"Paulista",2610707,4.1,4.7
"Pedra",2610806,3.8,3.9
"Pesqueira",2610905,4.3,4.8
"Petrolândia",2611002,5.2,4.6
"Petrolina",2611101,5.6,4.8
"Poção",2611200,4.9,4.4
"Pombos",2611309,3.9,4.2
"Primavera",2611408,4.8,4
"Quipapá",2611507,4.7,4.2
"Quixaba",2611533,5.9,4.8
"Recife",2611606,4.6,4.6
"Riacho das Almas",2611705,4.5,4
"Ribeirão",2611804,4.5,4.7
"Rio Formoso",2611903,4.1,4.8
"Sairé",2612000,4.5,4.4
"Salgadinho",2612109,4.6,3.8
"Salgueiro",2612208,4.9,4.7
"Saloá",2612307,4,4.2
"Sanharó",2612406,4,4.1
"Santa Cruz",2612455,4.6,4.3
"Santa Cruz da Baixa Verde",2612471,5.4,4.2
"Santa Cruz do Capibaribe",2612505,5,5.1
"Santa Filomena",2612554,5.2,4.3
"Santa Maria da Boa Vista",2612604,3.9,3.7
"Santa Maria do Cambucá",2612703,5,4.2
"Santa Terezinha",2612802,5,4.2
"São Benedito do Sul",2612901,4.3,3.8
"São Bento do Una",2613008,4.9,4
"São Caitano",2613107,4.7,4.2
"São João",2613206,5.5,3.6
"São Joaquim do Monte",2613305,4.8,4.3
"São José da Coroa Grande",2613404,3.8,4.3
"São José do Belmonte",2613503,4.9,4.6
"São José do Egito",2613602,5.7,4.7
"São Lourenço da Mata",2613701,4,4.3
"São Vicente Ferrer",2613800,4.1,4.5
"Serra Talhada",2613909,4.9,4.5
"Serrita",2614006,4.4,4
"Sertânia",2614105,5.4,4.5
"Sirinhaém",2614204,4.1,4.1
"Moreilândia",2614303,4.8,4.9
"Solidão",2614402,5.7,3.7
"Surubim",2614501,4.7,4.7
"Tabira",2614600,5.2,4.5
"Tacaimbó",2614709,4,3.9
"Tacaratu",2614808,4.7,4.9
"Tamandaré",2614857,4.3,4.5
"Taquaritinga do Norte",2615003,5.4,4.9
"Terezinha",2615102,5.5,3.7
"Terra Nova",2615201,4.9,4.6
"Timbaúba",2615300,4.3,4.8
"Toritama",2615409,3.8,4.1
"Tracunhaém",2615508,4.4,4.7
"Trindade",2615607,5,4.1
"Triunfo",2615706,5.9,4.6
"Tupanatinga",2615805,6,4.3
"Tuparetama",2615904,6.3,4.9
"Venturosa",2616001,5,4
"Verdejante",2616100,4.4,4.2
"Vertente do Lério",2616183,4.9,4.2
"Vertentes",2616209,4.2,4
"Vicência",2616308,4,3.8
"Vitória de Santo Antão",2616407,4.4,4.3
"Xexéu",2616506,4.5,4
"Água Branca",2700102,3.9,3.8
"Anadia",2700201,3.8,3.9
"Arapiraca",2700300,4.6,4.4
"Atalaia",2700409,3.9,3.8
"Barra de Santo Antônio",2700508,0,3.9
"Barra de São Miguel",2700607,4.2,4.1
"Batalha",2700706,4.6,3.8
"Belém",2700805,4.1,4.6
"Belo Monte",2700904,4.5,3.9
"Boca da Mata",2701001,4.6,4
"Branquinha",2701100,4.8,3.6
"Cacimbinhas",2701209,3.6,4.2
"Cajueiro",2701308,4.1,3.7
"Campestre",2701357,4,3.6
"Campo Alegre",2701407,6,3.7
"Campo Grande",2701506,3.6,3.8
"Canapi",2701605,4.9,4
"Capela",2701704,4.3,4.1
"Carneiros",2701803,4.1,3.9
"Chã Preta",2701902,4.3,4.1
"Coité do Nóia",2702009,4.5,4
"Colônia Leopoldina",2702108,4.2,3.7
"Coqueiro Seco",2702207,4.4,4.1
"Coruripe",2702306,6.5,4.5
"Craíbas",2702355,4,3.8
"Delmiro Gouveia",2702405,3.7,4.5
"Dois Riachos",2702504,3.4,4
"Estrela de Alagoas",2702553,4.1,3.7
"Feira Grande",2702603,4.4,3.9
"Feliz Deserto",2702702,4,3.7
"Flexeiras",2702801,4.5,5
"Girau do Ponciano",2702900,4,3.8
"Ibateguara",2703007,3.9,3.6
"Igaci",2703106,3.9,3.7
"Igreja Nova",2703205,4.5,3.8
"Inhapi",2703304,4.2,3.8
"Jacaré dos Homens",2703403,3.3,4.1
"Jacuípe",2703502,4.4,3.5
"Japaratinga",2703601,3.9,3.6
"Jaramataia",2703700,3.6,3.7
"Jequiá da Praia",2703759,6.8,4.1
"Joaquim Gomes",2703809,3.7,3.9
"Jundiá",2703908,4,3.4
"Junqueiro",2704005,5.6,4.3
"Lagoa da Canoa",2704104,3.8,3.8
"Limoeiro de Anadia",2704203,4,3.9
"Maceió",2704302,4.3,4.5
"Major Isidoro",2704401,4.1,3.9
"Maragogi",2704500,3.2,3.6
"Maravilha",2704609,3.6,4.1
"Marechal Deodoro",2704708,4,4
"Maribondo",2704807,3.3,3.6
"Mar Vermelho",2704906,4.7,4
"Mata Grande",2705002,4.1,4.1
"Matriz de Camaragibe",2705101,3.8,3.8
"Messias",2705200,5,4.6
"Minador do Negrão",2705309,4.1,3.7
"Monteirópolis",2705408,3.7,3.8
"Murici",2705507,4.7,3.8
"Novo Lino",2705606,3.8,3.7
"Olho d'Água das Flores",2705705,3.9,3.9
"Olho d'Água do Casado",2705804,4.1,3.7
"Olho d'Água Grande",2705903,3.6,3.5
"Olivença",2706000,3.4,4.2
"Ouro Branco",2706109,4.2,3.7
"Palestina",2706208,4.5,3.9
"Palmeira dos Índios",2706307,4.5,4.2
"Pão de Açúcar",2706406,4.5,3.6
"Pariconha",2706422,4.7,4
"Paripueira",2706448,4,3.7
"Passo de Camaragibe",2706505,3.7,3.5
"Paulo Jacinto",2706604,3.9,3.5
"Penedo",2706703,4,4.5
"Piaçabuçu",2706802,4.3,3.9
"Pilar",2706901,3.9,3.9
"Pindoba",2707008,4.5,3.3
"Piranhas",2707107,0,4.1
"Poço das Trincheiras",2707206,3.9,3.5
"Porto Calvo",2707305,4.4,3.7
"Porto de Pedras",2707404,3.6,3.5
"Porto Real do Colégio",2707503,3.8,4
"Quebrangulo",2707602,5,3.9
"Rio Largo",2707701,4.1,4.4
"Roteiro",2707800,4.1,4.2
"Santa Luzia do Norte",2707909,4,3.6
"Santana do Ipanema",2708006,3.9,3.7
"Santana do Mundaú",2708105,4.4,4.1
"São Brás",2708204,3.9,3.9
"São José da Laje",2708303,5.1,4.4
"São José da Tapera",2708402,4.3,3.5
"São Luís do Quitunde",2708501,0,3.6
"São Miguel dos Campos",2708600,4.5,4.1
"São Miguel dos Milagres",2708709,4.2,3.7
"São Sebastião",2708808,4.2,3.8
"Satuba",2708907,4,3.9
"Senador Rui Palmeira",2708956,4.2,3.8
"Tanque d'Arca",2709004,3.9,3.8
"Taquarana",2709103,5.3,4.4
"Teotônio Vilela",2709152,5.7,3.9
"Traipu",2709202,3.7,4.2
"União dos Palmares",2709301,4.4,4
"Viçosa",2709400,4.3,3.8
"Amparo de São Francisco",2800100,4.9,4
"Aquidabã",2800209,4,3.8
"Aracaju",2800308,4.3,4.6
"Arauá",2800407,3.7,4.3
"Areia Branca",2800506,3.9,4.2
"Barra dos Coqueiros",2800605,3.7,4.2
"Boquim",2800670,4.1,4.1
"Brejo Grande",2800704,3.7,3.7
"Campo do Brito",2801009,4.5,4.6
"Canhoba",2801108,4,3
"Canindé de São Francisco",2801207,4.3,4.1
"Capela",2801306,4,4.1
"Carira",2801405,4.2,4.2
"Carmópolis",2801504,4.1,4.1
"Cedro de São João",2801603,4.9,4
"Cristinápolis",2801702,4.5,3.7
"Cumbe",2801900,3.7,4.1
"Divina Pastora",2802007,3.8,4
"Estância",2802106,3.9,4.3
"Feira Nova",2802205,3.6,3.8
"Frei Paulo",2802304,3.8,4.4
"Gararu",2802403,4,4.5
"General Maynard",2802502,3.4,3.8
"Gracho Cardoso",2802601,4,3.6
"Ilha das Flores",2802700,4.2,3.8
"Indiaroba",2802809,3.8,3.6
"Itabaiana",2802908,4.4,4.1
"Itabaianinha",2803005,4.1,4
"Itabi",2803104,4.4,3.9
"Itaporanga d'Ajuda",2803203,3.9,4.1
"Japaratuba",2803302,4.3,3.8
"Japoatã",2803401,4.1,4.3
"Lagarto",2803500,4.6,4.4
"Laranjeiras",2803609,3.7,4.1
"Macambira",2803708,4.4,4.5
"Malhada dos Bois",2803807,4.2,3.9
"Malhador",2803906,4.1,4.1
"Maruim",2804003,3.7,4
"Moita Bonita",2804102,4,4.4
"Monte Alegre de Sergipe",2804201,3.9,3.8
"Muribeca",2804300,4,4
"Neópolis",2804409,4.3,4.2
"Nossa Senhora Aparecida",2804458,3.4,3.9
"Nossa Senhora da Glória",2804508,4.2,4.2
"Nossa Senhora das Dores",2804607,4.2,4.3
"Nossa Senhora de Lourdes",2804706,3.8,4.2
"Nossa Senhora do Socorro",2804805,4.2,4.5
"Pacatuba",2804904,4.1,4.3
"Pedra Mole",2805000,4.4,4.3
"Pedrinhas",2805109,3.6,3.7
"Pinhão",2805208,4.5,3.9
"Pirambu",2805307,4,4.5
"Poço Redondo",2805406,3.8,3.8
"Poço Verde",2805505,4.5,4.5
"Porto da Folha",2805604,3.9,3.9
"Propriá",2805703,3.9,4.2
"Riachão do Dantas",2805802,3.5,3.7
"Riachuelo",2805901,3.6,3.9
"Ribeirópolis",2806008,4,4.2
"Rosário do Catete",2806107,3.9,4.4
"Salgado",2806206,4.1,4.3
"Santa Luzia do Itanhy",2806305,3.1,3.8
"Santana do São Francisco",2806404,3.9,3.8
"Santa Rosa de Lima",2806503,3.2,3.9
"Santo Amaro das Brotas",2806602,4.1,4.1
"São Cristóvão",2806701,3.9,4.3
"São Domingos",2806800,4.1,4.2
"São Francisco",2806909,3.9,4
"São Miguel do Aleixo",2807006,3.7,4.2
"Simão Dias",2807105,4.1,4
"Siriri",2807204,3.8,3.9
"Telha",2807303,0,4.2
"Tobias Barreto",2807402,4.2,4.2
"Tomar do Geru",2807501,3.8,3.8
"Umbaúba",2807600,4,4.1
"Abaíra",2900108,5.2,4.9
"Abaré",2900207,4.6,4
"Acajutiba",2900306,3.5,3.8
"Adustina",2900355,4.7,4.8
"Água Fria",2900405,3.4,3.8
"Érico Cardoso",2900504,4.1,3.6
"Aiquara",2900603,3.7,3.5
"Alagoinhas",2900702,3.9,4.2
"Alcobaça",2900801,4.9,4.5
"Almadina",2900900,4.1,4.2
"Amargosa",2901007,4.4,4.1
"Amélia Rodrigues",2901106,4.4,4.4
"América Dourada",2901155,4.7,4.5
"Anagé",2901205,3.9,4.1
"Andaraí",2901304,4.9,4.1
"Andorinha",2901353,3.6,4
"Angical",2901403,4.8,4.9
"Anguera",2901502,4.7,4
"Antas",2901601,3.8,4.1
"Antônio Cardoso",2901700,3.9,3.9
"Antônio Gonçalves",2901809,4.7,3.8
"Aporá",2901908,3.7,3.8
"Apuarema",2901957,4.1,3.7
"Aracatu",2902005,4.9,4.6
"Araças",2902054,3.8,4.3
"Araci",2902104,3.6,4
"Aramari",2902203,4.6,3.9
"Arataca",2902252,3.7,3.5
"Aratuípe",2902302,3.6,4
"Aurelino Leal",2902401,3.8,3.7
"Baianópolis",2902500,4.6,4.8
"Baixa Grande",2902609,4.3,3.9
"Banzaê",2902658,4.2,4.2
"Barra",2902708,4.4,4
"Barra da Estiva",2902807,5.1,4.5
"Barra do Choça",2902906,4,3.9
"Barra do Mendes",2903003,5.3,4.3
"Barra do Rocha",2903102,4.2,3.5
"Barreiras",2903201,4.5,4.2
"Barro Alto",2903235,4.8,4.7
"Barrocas",2903276,4.6,3.7
"Barro Preto",2903300,4.9,4
"Belmonte",2903409,3.6,4
"Belo Campo",2903508,4.1,4.1
"Biritinga",2903607,3.1,3.6
"Boa Nova",2903706,4.5,4.7
"Boa Vista do Tupim",2903805,5,3.5
"Bom Jesus da Lapa",2903904,4.4,4.3
"Bom Jesus da Serra",2903953,3.8,4
"Boninal",2904001,4.9,4.2
"Bonito",2904050,4.6,3.7
"Boquira",2904100,5.4,3.7
"Botuporã",2904209,5.2,3.9
"Brejões",2904308,4.4,4.1
"Brejolândia",2904407,4.4,5.2
"Brotas de Macaúbas",2904506,5.1,4.2
"Brumado",2904605,0,4.5
"Buerarema",2904704,3.8,4.1
"Buritirama",2904753,4.3,4
"Caatiba",2904803,4.7,4.2
"Cabaceiras do Paraguaçu",2904852,3.6,4.5
"Cachoeira",2904902,3.9,3.9
"Caculé",2905008,6,5.1
"Caém",2905107,4.1,4.3
"Caetanos",2905156,4.4,4.3
"Caetité",2905206,4.8,4.5
"Cafarnaum",2905305,4.4,3.8
"Cairu",2905404,4.3,3.9
"Caldeirão Grande",2905503,4.1,3.6
"Camacan",2905602,3.9,4
"Camaçari",2905701,4.7,4.2
"Camamu",2905800,3.9,4.1
"Campo Alegre de Lourdes",2905909,4.4,4.3
"Campo Formoso",2906006,4,4.1
"Canápolis",2906105,4,4.4
"Canarana",2906204,4.1,4
"Canavieiras",2906303,4,4.3
"Candeal",2906402,3.6,3.5
"Candeias",2906501,4.4,4.3
"Candiba",2906600,4.9,4.4
"Cândido Sales",2906709,4.2,4
"Cansanção",2906808,3.5,3.5
"Canudos",2906824,3.8,4
"Capela do Alto Alegre",2906857,4.4,4.3
"Capim Grosso",2906873,4.1,3.9
"Caraíbas",2906899,4.4,4.8
"Caravelas",2906907,4.4,4.2
"Cardeal da Silva",2907004,3.9,4.2
"Carinhanha",2907103,4.3,4.2
"Casa Nova",2907202,3.7,3.8
"Castro Alves",2907301,4.4,4.4
"Catolândia",2907400,4.3,4.5
"Catu",2907509,4.7,4.3
"Caturama",2907558,4.4,4.1
"Central",2907608,3.8,4.8
"Chorrochó",2907707,4.1,3.8
"Cícero Dantas",2907806,3.7,4.2
"Cipó",2907905,4,4.3
"Coaraci",2908002,4.1,4.2
"Cocos",2908101,4.7,4.9
"Conceição da Feira",2908200,4.3,4.5
"Conceição do Almeida",2908309,3.6,4.6
"Conceição do Coité",2908408,4,4
"Conceição do Jacuípe",2908507,4.4,4.1
"Conde",2908606,3.6,4.5
"Condeúba",2908705,5.9,5.1
"Contendas do Sincorá",2908804,0,4.2
"Coração de Maria",2908903,3.7,4.2
"Cordeiros",2909000,5.2,4.1
"Coribe",2909109,4.3,4.9
"Coronel João Sá",2909208,4.5,4.1
"Correntina",2909307,4.1,4.3
"Cotegipe",2909406,4.2,3.6
"Cravolândia",2909505,4.7,3.7
"Crisópolis",2909604,4.9,4.8
"Cristópolis",2909703,4.6,4.1
"Cruz das Almas",2909802,4.3,4.4
"Curaçá",2909901,4.3,3.7
"Dário Meira",2910008,3.4,3.9
"Dias d'Ávila",2910057,4.5,4.2
"Dom Basílio",2910107,0,4.8
"Dom Macedo Costa",2910206,5.1,4.1
"Elísio Medrado",2910305,4.1,3.9
"Encruzilhada",2910404,4.1,4.1
"Entre Rios",2910503,3.8,4
"Esplanada",2910602,3.7,4.1
"Euclides da Cunha",2910701,3.7,4.2
"Eunápolis",2910727,4.2,4.2
"Fátima",2910750,4.7,4.4
"Feira da Mata",2910776,4.9,4.3
"Feira de Santana",2910800,4,4.3
"Filadélfia",2910859,3.7,3.8
"Firmino Alves",2910909,4.6,4
"Floresta Azul",2911006,3.4,4.2
"Formosa do Rio Preto",2911105,4.2,4.1
"Gandu",2911204,4.7,4.4
"Gavião",2911253,4.4,4.8
"Gentio do Ouro",2911303,4.4,4.1
"Glória",2911402,4,4.8
"Gongogi",2911501,4.2,3.7
"Governador Mangabeira",2911600,4.2,4.4
"Guajeru",2911659,4.7,4.4
"Guanambi",2911709,4.9,4.5
"Guaratinga",2911808,3.8,4.4
"Heliópolis",2911857,4.5,4.3
"Iaçu",2911907,4.8,3.7
"Ibiassucê",2912004,0,5
"Ibicaraí",2912103,4,3.7
"Ibicoara",2912202,4.3,4.2
"Ibicuí",2912301,4.3,4
"Ibipeba",2912400,4.4,4.8
"Ibipitanga",2912509,5.6,4.3
"Ibiquera",2912608,3.7,3.8
"Ibirapitanga",2912707,4.4,4
"Ibirapuã",2912806,5.2,4.2
"Ibirataia",2912905,3.9,4.2
"Ibitiara",2913002,6.5,5.3
"Ibititá",2913101,4.5,4.1
"Ibotirama",2913200,4.4,4.6
"Ichu",2913309,4.3,4
"Igaporã",2913408,4.8,4.4
"Igrapiúna",2913457,4.4,4.2
"Iguaí",2913507,4.3,4
"Ilhéus",2913606,4.3,4.3
"Inhambupe",2913705,3.8,3.5
"Ipecaetá",2913804,3.3,3.9
"Ipiaú",2913903,4.7,4.2
"Ipirá",2914000,4.1,3.9
"Ipupiara",2914109,5.4,4.4
"Irajuba",2914208,4.5,3.6
"Iramaia",2914307,4.5,3.9
"Iraquara",2914406,5,4.2
"Irará",2914505,3.8,3.9
"Irecê",2914604,5.1,4.5
"Itabela",2914653,4,3.9
"Itaberaba",2914703,4.6,4.2
"Itabuna",2914802,4.4,4.5
"Itacaré",2914901,4.2,3.8
"Itaeté",2915007,5.3,4
"Itagi",2915106,4.3,3.7
"Itagibá",2915205,4.8,3.7
"Itagimirim",2915304,3.8,3.9
"Itaguaçu da Bahia",2915353,4.7,4.2
"Itaju do Colônia",2915403,3.8,4.2
"Itajuípe",2915502,3.8,4
"Itamaraju",2915601,4.7,4
"Itamari",2915700,4.1,3
"Itambé",2915809,3.3,4
"Itanagra",2915908,3.9,4.1
"Itanhém",2916005,4.9,4.1
"Itaparica",2916104,3.5,4.2
"Itapé",2916203,3.5,3.9
"Itapebi",2916302,3,3.8
"Itapetinga",2916401,4.3,4
"Itapicuru",2916500,3.9,4.2
"Itapitanga",2916609,3.5,4.1
"Itaquara",2916708,4,3.2
"Itarantim",2916807,4.9,3.4
"Itatim",2916856,4.9,3.6
"Itiruçu",2916906,4.1,3.9
"Itiúba",2917003,3.8,3.7
"Itororó",2917102,3.8,4
"Ituaçu",2917201,4.7,4.6
"Ituberá",2917300,4.2,4
"Iuiú",2917334,4.2,3.4
"Jaborandi",2917359,5.3,4.3
"Jacaraci",2917409,6.1,5.2
"Jacobina",2917508,4.4,4.3
"Jaguaquara",2917607,4.2,4.1
"Jaguarari",2917706,4.4,3.7
"Jaguaripe",2917805,3.8,4.2
"Jandaíra",2917904,3.9,4.4
"Jequié",2918001,3.8,4
"Jeremoabo",2918100,3.7,4.4
"Jiquiriçá",2918209,4.1,4.2
"Jitaúna",2918308,3.8,3.8
"João Dourado",2918357,4.5,4.8
"Juazeiro",2918407,4.9,4
"Jucuruçu",2918456,4,3.8
"Jussara",2918506,4.2,4.3
"Jussari",2918555,4,3.8
"Jussiape",2918605,5,4.7
"Lafaiete Coutinho",2918704,4.9,4.4
"Lagoa Real",2918753,5,4
"Laje",2918803,4.3,4.5
"Lajedão",2918902,5,4.7
"Lajedinho",2919009,4.9,3.7
"Lajedo do Tabocal",2919058,4.7,4.7
"Lamarão",2919108,3.2,3.5
"Lapão",2919157,4.7,4.3
"Lauro de Freitas",2919207,4.3,4.6
"Lençóis",2919306,4.5,3.8
"Licínio de Almeida",2919405,6.3,5
"Livramento de Nossa Senhora",2919504,5.5,5
"Luís Eduardo Magalhães",2919553,5.3,5
"Macajuba",2919603,4.5,4.2
"Macarani",2919702,5.1,4.5
